Column	Canonical metabolite	Exchange reaction expected by v4	Type
Gluc	Glucose	EX_glc_e	sample concentration + feed composition supported
Lac	Lactate	EX_lac_L_e	sample concentration + feed composition supported
NH4+	Ammonia	EX_nh4_e	sample concentration + feed composition supported
Ala	Alanine	EX_ala_L_e	sample concentration + feed composition supported
Arg	Arginine	EX_arg_L_e	sample concentration + feed composition supported
Asn	Asparagine	EX_asn_L_e	sample concentration + feed composition supported
Asp	Aspartate	EX_asp_L_e	sample concentration + feed composition supported
Cys	Cysteine	EX_cys_L_e	sample concentration + feed composition supported
Gln	Glutamine	EX_gln_L_e	sample concentration + feed composition supported
Glu	Glutamate	EX_glu_L_e	sample concentration + feed composition supported
Gly	Glycine	EX_gly_e	sample concentration + feed composition supported
His	Histidine	EX_his_L_e	sample concentration + feed composition supported
Ile	Isoleucine	EX_ile_L_e	sample concentration + feed composition supported
Leu	Leucine	EX_leu_L_e	sample concentration + feed composition supported
Lys	Lysine	EX_lys_L_e	sample concentration + feed composition supported
Met	Methionine	EX_met_L_e	sample concentration + feed composition supported
Phe	Phenylalanine	EX_phe_L_e	sample concentration + feed composition supported
Pro	Proline	EX_pro_L_e	sample concentration + feed composition supported
Ser	Serine	EX_ser_L_e	sample concentration + feed composition supported
Thr	Threonine	EX_thr_L_e	sample concentration + feed composition supported
Trp	Tryptophan	EX_trp_L_e	sample concentration + feed composition supported
Tyr	Tyrosine	EX_tyr_L_e	sample concentration + feed composition supported
Val	Valine	EX_val_L_e	sample concentration + feed composition supported
